"","origin","destination","probability"
"1","S27SUR","S27SUR",0.0213146718662
"2","S27SUR","S28SUR",0.0069980501616
"3","S19SUR","S19SUR",0.0145066666667
"4","S19SUR","S20SUR",0.00461333333333
"5","S19SUR","S18SUR",0.00186666666667
"6","S19SUR","S17SUR",0.00178666666667
"7","S19SUR","S16SUR",0.00096
"8","S20SUR","S19SUR",0.00522666666667
"9","S20SUR","S20SUR",0.00690666666667
"10","S20SUR","S18SUR",0.00346666666667
"11","S20SUR","S17SUR",0.00205333333333
"12","S20SUR","S16SUR",0.000133333333333
"13","S20SUR","S21SUR",0.00048
"14","S28SUR","S27SUR",0.00618683164885
"15","S28SUR","S28SUR",0.00493346489239
"16","S18SUR","S19SUR",0.000709219858156
"17","S18SUR","S20SUR",0.00150027277687
"18","S18SUR","S18SUR",0.130169121658
"19","S18SUR","S17SUR",0.00139116202946
"20","S18SUR","S16SUR",0.000327332242226
"21","S18SUR","S21SUR",0.000245499181669
"22","S18SUR","S26SUR",0.000163666121113
"23","S18SUR","S25SUR",2.72776868522e-05
"24","S18SUR","S22SUR",2.72776868522e-05
"25","S5SUR","S5SUR",4e-04
"26","S5SUR","S6SUR",0.00152
"27","S5SUR","S7SUR",0.00194666666667
"28","S5SUR","S8SUR",0.00226666666667
"29","S5SUR","S9SUR",0.000506666666667
"30","S5SUR","S10SUR",8e-05
"31","S17SUR","S19SUR",0.000453333333333
"32","S17SUR","S20SUR",0.000933333333333
"33","S17SUR","S18SUR",0.00864
"34","S17SUR","S17SUR",0.00274666666667
"35","S17SUR","S16SUR",0.00072
"36","S17SUR","S21SUR",0.00128
"37","S17SUR","S26SUR",0.000613333333333
"38","S17SUR","S25SUR",8e-05
"39","S17SUR","S22SUR",0.000213333333333
"40","S6SUR","S5SUR",8e-05
"41","S6SUR","S6SUR",0.00554666666667
"42","S6SUR","S7SUR",0.00274666666667
"43","S6SUR","S8SUR",0.00117333333333
"44","S6SUR","S9SUR",0.00072
"45","S7SUR","S18SUR",5.33333333333e-05
"46","S7SUR","S17SUR",0.000106666666667
"47","S7SUR","S7SUR",0.00162666666667
"48","S7SUR","S8SUR",0.00213333333333
"49","S7SUR","S9SUR",0.00224
"50","S7SUR","S15SUR",5.33333333333e-05
"51","S7SUR","S10SUR",2.66666666667e-05
"52","S7SUR","S11SUR",0.000426666666667
"53","S16SUR","S16SUR",0.00666666666667
"54","S16SUR","S21SUR",0.0088
"55","S16SUR","S26SUR",0.00202666666667
"56","S16SUR","S25SUR",0.000373333333333
"57","S16SUR","S22SUR",0.00104
"58","S21SUR","S16SUR",0.00496
"59","S21SUR","S21SUR",0.00810666666667
"60","S21SUR","S26SUR",0.00109333333333
"61","S21SUR","S25SUR",0.00197333333333
"62","S21SUR","S22SUR",0.00122666666667
"63","S8SUR","S19SUR",0.000293333333333
"64","S8SUR","S20SUR",0.000106666666667
"65","S8SUR","S18SUR",0.000186666666667
"66","S8SUR","S17SUR",0.000506666666667
"67","S8SUR","S7SUR",0.000213333333333
"68","S8SUR","S8SUR",0.0024
"69","S8SUR","S9SUR",0.00357333333333
"70","S8SUR","S14SUR",2.66666666667e-05
"71","S8SUR","S15SUR",2.66666666667e-05
"72","S8SUR","S10SUR",0.00016
"73","S8SUR","S12SUR",0.00016
"74","S26SUR","S16SUR",0.000533333333333
"75","S26SUR","S21SUR",0.00157333333333
"76","S26SUR","S26SUR",0.00458666666667
"77","S26SUR","S25SUR",0.0106666666667
"78","S26SUR","S22SUR",0.000773333333333
"79","S26SUR","S23SUR",0.000746666666667
"80","S26SUR","S24SUR",0.00149333333333
"81","S9SUR","S19SUR",8e-05
"82","S9SUR","S20SUR",8e-05
"83","S9SUR","S18SUR",0.000266666666667
"84","S9SUR","S17SUR",0.00128
"85","S9SUR","S7SUR",5.33333333333e-05
"86","S9SUR","S8SUR",0.000826666666667
"87","S9SUR","S9SUR",0.00210666666667
"88","S9SUR","S15SUR",0.000906666666667
"89","S9SUR","S10SUR",2.66666666667e-05
"90","S9SUR","S11SUR",2.66666666667e-05
"91","S9SUR","S12SUR",0.000293333333333
"92","S25SUR","S20SUR",0.000186666666667
"93","S25SUR","S16SUR",0.000506666666667
"94","S25SUR","S21SUR",0.00056
"95","S25SUR","S26SUR",0.00368
"96","S25SUR","S25SUR",0.0331466666667
"97","S25SUR","S22SUR",0.00245333333333
"98","S25SUR","S23SUR",0.00128
"99","S25SUR","S24SUR",0.00208
"100","S14SUR","S17SUR",0.000106666666667
"101","S14SUR","S14SUR",0.00832
"102","S14SUR","S15SUR",0.00237333333333
"103","S14SUR","S10SUR",2.66666666667e-05
"104","S14SUR","S12SUR",0.000693333333333
"105","S22SUR","S16SUR",0.00170666666667
"106","S22SUR","S21SUR",0.00394666666667
"107","S22SUR","S26SUR",0.000666666666667
"108","S22SUR","S25SUR",0.000933333333333
"109","S22SUR","S22SUR",0.04728
"110","S22SUR","S24SUR",2.66666666667e-05
"111","S15SUR","S14SUR",0.00146666666667
"112","S15SUR","S15SUR",0.0162933333333
"113","S15SUR","S10SUR",8e-05
"114","S15SUR","S11SUR",0.000186666666667
"115","S15SUR","S12SUR",0.000533333333333
"116","S10SUR","S8SUR",2.66666666667e-05
"117","S10SUR","S9SUR",0.000826666666667
"118","S10SUR","S10SUR",0.0154666666667
"119","S10SUR","S11SUR",0.00101333333333
"120","S10SUR","S12SUR",5.33333333333e-05
"121","S11SUR","S9SUR",0.0005431675243
"122","S11SUR","S10SUR",0.00611778158949
"123","S11SUR","S11SUR",0.0322184105202
"124","S11SUR","S12SUR",0.000371640937679
"125","S23SUR","S25SUR",0.000346666666667
"126","S23SUR","S23SUR",0.0188533333333
"127","S23SUR","S24SUR",0.0135733333333
"128","S24SUR","S26SUR",0.000133333333333
"129","S24SUR","S25SUR",0.000133333333333
"130","S24SUR","S22SUR",5.33333333333e-05
"131","S24SUR","S23SUR",0.0155733333333
"132","S24SUR","S24SUR",0.0121066666667
"133","S12SUR","S9SUR",0.000213333333333
"134","S12SUR","S10SUR",0.00554666666667
"135","S12SUR","S11SUR",0.00602666666667
"136","S12SUR","S12SUR",0.00722666666667
